name,date,open,high,low,close,price,market_cap,total_volume
Bitcoin,11/10/2017,7461.82,7461.82,6365.4,6365.4,619.4950000000002,8048556476.875003,18525910.64620546
Bitcoin,11/14/2017,5866.51,7297.67,5866.51,7297.67,620.0474999999996,8058075305.249995,9269839.610474609
Bitcoin,11/18/2017,7814.94,8011.15,7783.54,8011.15,620.16,8060033472.0,9329941.299859986
Bitcoin,11/22/2017,8220.51,8257.12,8114.13,8117.66,615.1275000000002,7994627579.250003,15009203.935868405
Bitcoin,11/26/2017,8278.13,9831.4,8278.13,9831.4,630.8350000000002,8198773244.500003,15836826.82458833
Bitcoin,11/29/2017,10257.07,10406.19,9875.89,10406.19,633.6389951679741,8235215928.499609,13267457.870885218
Bitcoin,12/02/2017,10995.72,11256.7,10995.72,11256.7,627.4623228193354,8154939570.986056,11435029.121800043
Bitcoin,12/06/2017,11634.98,18491.18,11634.98,18491.18,618.2050265064788,8034625267.996753,2646077079.3567286
Bitcoin,12/10/2017,16908.0,17106.51,15266.43,17106.51,618.9524999999999,8044339956.749999,10776372.317991683
Bitcoin,12/14/2017,17249.92,17978.63,16525.04,17978.63,614.1474999999997,7981890813.249996,13679053.322608326
Bitcoin,12/18/2017,19665.39,19665.39,18174.19,18174.19,622.8950000000001,8095579446.500001,14637445.280315427
Bitcoin,12/22/2017,17059.89,17059.89,14084.82,15241.92,627.0188000000003,8173252759.880004,14086517.690069783
Bitcoin,12/26/2017,14451.11,16616.68,14302.75,16373.08,626.1763000000001,8165088481.480001,7640657.031253545
Bitcoin,12/30/2017,15067.9,15096.56,13620.36,14839.59,620.5138,8093609698.919999,4767570.26288198
Bitcoin,01/02/2018,14093.61,15583.89,14093.61,15583.89,619.9088000000002,8088074095.3600025,8225443.991691393
Bitcoin,01/06/2018,15976.37,18343.66,15976.37,17039.87,619.0062999999999,8078589320.669999,7698580.9229142675
Bitcoin,01/10/2018,15900.37,15900.37,14050.57,14050.57,617.9425000000001,8066930366.250001,9043046.013458895
Bitcoin,01/14/2018,14759.29,15193.31,14412.0,14412.0,599.8088,7832303310.4,24703385.252356224
Bitcoin,01/18/2018,11723.91,11758.47,11415.39,11758.47,600.0963000000002,7837677745.410003,20256797.398241412
Bitcoin,01/22/2018,13260.27,13260.27,10894.0,10894.0,593.7750000000001,7758026640.000001,11443452.28870578
Bitcoin,01/26/2018,11277.12,11456.21,11044.91,11456.21,590.3788,7715896688.72,9300140.74662901
Bitcoin,01/30/2018,11665.7,11665.7,9989.69,9989.69,585.2787999999998,7651364384.369997,23117898.15816101
Bitcoin,02/02/2018,10114.5,10114.5,8830.16,8830.16,581.7138,7607013191.22,11790372.332249207
Bitcoin,02/06/2018,8994.91,8994.91,6852.05,7711.22,560.7912999999999,7335781094.212499,18397948.917774394
Bitcoin,02/10/2018,7611.61,8650.72,7611.61,8574.68,583.1821057431899,7630850376.333778,23252091.391060743
Bitcoin,02/14/2018,8168.64,9428.03,8168.64,9428.03,593.8655273953669,7773046501.525218,22927176.796534866
Bitcoin,02/18/2018,10112.58,11006.65,10112.58,10523.43,588.2306991611412,7701689838.349342,9260582.608232379
Bitcoin,02/22/2018,11103.09,11502.38,9973.59,10032.86,585.5731940766995,7669135008.183718,9179432.125804095
Bitcoin,02/26/2018,10301.88,10355.58,9699.52,10355.58,586.3686859113967,7681459103.873592,11325982.78547038
Bitcoin,02/27/2018,10709.39,11098.08,10346.66,11098.08,582.4186267649761,7631722475.814864,13046784.254992407
Bitcoin,03/06/2018,11356.04,11526.42,10727.72,10727.72,583.3249999999999,7645917854.374999,12769922.201948395
Bitcoin,03/10/2018,9999.68,9999.68,8890.87,8890.87,587.2031590188054,7699128899.554043,11942668.461052554
Bitcoin,03/14/2018,9512.46,9512.46,8307.22,8307.22,590.9072702245192,7749970439.220903,12277588.527439365
Bitcoin,03/18/2018,8359.37,8520.01,8063.41,8217.84,588.1078559835756,7716004475.897311,7934876.355063622
Bitcoin,03/22/2018,8640.52,8970.32,8640.52,8736.39,588.5004825541756,7723612745.649575,8504716.676129557
Bitcoin,03/26/2018,8824.59,8824.59,8186.2,8186.2,573.4063,7528222642.385,16394404.861505693
Bitcoin,03/30/2018,7836.76,7930.78,6897.27,6897.27,567.4023482208208,7451879444.947211,15825348.317337945
